z,vz,Rcyl,phi,vRcyl,vphi,age,mass,feh,oh,ch,mgh,ofe,cfe,mgfe,IsMigratorInt
0.268,-94.193,4.156,56.464,160.824,156.179,8.607,4984.124,-0.632,-0.166,-0.395,-0.33,0.466,0.237,0.303,0
0.095,36.727,0.539,119.096,-35.719,64.017,6.02,5707.905,-0.154,0.309,0.182,0.124,0.463,0.337,0.278,0
0.009,-27.111,2.073,54.246,-62.445,231.96,0.656,8133.2,0.19,0.652,0.584,0.396,0.462,0.394,0.206,0
0.022,33.035,0.703,1.752,-26.698,18.394,8.992,6434.053,-0.48,-0.06,-0.193,-0.218,0.42,0.288,0.262,0
0.192,37.772,0.51,249.567,-59.669,25.59,7.783,5242.94,-0.396,0.033,-0.07,-0.126,0.43,0.326,0.27,0
-0.13,-108.096,1.292,191.704,-126.192,259.426,6.435,5452.507,-0.28,0.164,0.008,-0.007,0.444,0.288,0.273,0
0.133,200.998,0.514,275.581,-35.161,-85.408,7.691,5525.188,-0.364,0.079,0.004,-0.081,0.443,0.368,0.283,0
0.098,0.701,0.388,144.202,29.551,-19.151,7.157,6350.846,-0.192,0.188,0.109,0.022,0.38,0.301,0.214,0
0.184,-131.376,3.793,205.172,27.665,-88.967,10.144,4827.279,-0.765,-0.294,-0.536,-0.46,0.47,0.229,0.305,1
-0.016,3.99,1.848,271.797,-49.525,269.293,0.182,7433.718,0.277,0.725,0.687,0.454,0.448,0.41,0.177,0
-0.175,-175.362,0.312,84.962,137.529,62.545,5.715,4966.4,-0.065,0.332,0.249,0.145,0.397,0.313,0.21,0
-0.341,4.72,7.318,1.655,-23.797,276.348,0.414,10180.958,0.102,0.574,0.482,0.327,0.472,0.38,0.225,1
-0.038,-57.671,0.416,231.935,58.621,166.183,3.708,5819.831,0.209,0.643,0.569,0.407,0.434,0.36,0.198,0
-0.084,94.041,1.48,243.25,75.282,-87.457,8.402,5360.777,-0.493,-0.044,-0.24,-0.206,0.449,0.253,0.286,0
0.105,25.766,4.037,106.656,3.113,270.684,2.333,6142.948,-0.022,0.449,0.306,0.233,0.471,0.327,0.255,0
-0.255,-173.663,2.013,171.109,102.924,177.696,4.686,5571.256,-0.075,0.377,0.237,0.181,0.452,0.311,0.255,0
-0.125,35.298,1.013,168.942,25.265,225.82,6.472,5027.011,-0.291,0.158,-0.018,-0.011,0.45,0.274,0.28,0
-0.116,-27.732,1.442,166.555,-5.676,273.942,2.456,7256.488,0.054,0.521,0.402,0.294,0.467,0.348,0.24,0
-0.34,-0.96,0.191,143.082,122.849,403.266,8.743,4737.306,-0.483,-0.004,-0.252,-0.168,0.48,0.232,0.315,0
0.354,193.765,1.116,159.589,61.682,395.619,5.553,7007.512,-0.162,0.292,0.131,0.11,0.454,0.293,0.272,1
0.246,14.602,6.213,342.441,-47.205,228.4,1.74,6863.786,0.02,0.487,0.36,0.262,0.467,0.34,0.242,1
0.292,-59.133,0.544,193.189,-23.697,307.187,6.451,5742.341,-0.208,0.233,0.084,0.059,0.441,0.292,0.267,0
-0.056,-276.372,0.084,208.982,19.749,-239.57,8.763,4732.166,-0.513,-0.042,-0.222,-0.203,0.471,0.291,0.31,0
0.194,-12.119,1.884,331.606,64.535,75.468,8.863,4631.959,-0.596,-0.095,-0.323,-0.257,0.501,0.273,0.339,0
0.174,58.775,7.115,238.162,174.29,297.719,4.489,5957.238,-0.293,0.157,-0.018,-0.026,0.45,0.275,0.267,1
0.099,18.426,0.777,266.424,62.385,62.017,6.404,5751.021,-0.15,0.29,0.136,0.115,0.441,0.286,0.265,0
0.117,-37.461,7.381,225.724,-88.268,304.403,0.83,7268.255,0.061,0.531,0.422,0.295,0.471,0.361,0.234,1
-0.098,212.367,0.274,198.176,121.417,-11.668,6.058,11773.337,-0.049,0.307,0.3,0.122,0.356,0.349,0.171,0
0.257,166.449,0.157,35.457,55.183,335.55,7.79,5961.308,-0.38,0.021,-0.097,-0.138,0.402,0.284,0.242,0
-0.035,-66.441,2.669,142.184,-124.762,130.006,5.384,5757.498,-0.082,0.372,0.217,0.183,0.454,0.299,0.265,0
-0.478,250.61,0.837,161.936,20.206,-80.394,8.142,5182.827,-0.479,0.001,-0.149,-0.159,0.48,0.33,0.32,0
-0.066,9.899,1.135,303.841,-55.057,115.604,5.023,5504.796,-0.03,0.412,0.276,0.216,0.442,0.306,0.246,0
0.353,-64.05,0.468,65.298,-72.412,317.071,4.092,6163.108,0.067,0.508,0.402,0.29,0.44,0.334,0.223,0
